time,heart_rate
2021-08-20 00:00:09,55
2021-08-20 00:00:24,55
2021-08-20 00:00:34,54
2021-08-20 00:00:49,55
2021-08-20 00:00:59,55
2021-08-20 00:01:14,56
2021-08-20 00:01:19,55
2021-08-20 00:01:24,54
2021-08-20 00:01:29,53
2021-08-20 00:01:44,53
2021-08-20 00:01:54,54
2021-08-20 00:02:09,54
2021-08-20 00:02:14,55
2021-08-20 00:02:24,56
2021-08-20 00:02:29,55
2021-08-20 00:02:44,54
2021-08-20 00:02:59,55
2021-08-20 00:03:09,54
2021-08-20 00:03:14,53
2021-08-20 00:03:30,54
2021-08-20 00:03:45,55
2021-08-20 00:03:50,54
2021-08-20 00:03:55,53
2021-08-20 00:04:00,52
2021-08-20 00:04:10,53
2021-08-20 00:04:15,54
2021-08-20 00:04:20,55
2021-08-20 00:04:35,55
2021-08-20 00:04:40,56
2021-08-20 00:04:50,55
2021-08-20 00:04:55,54
2021-08-20 00:05:10,54
2021-08-20 00:05:25,54
2021-08-20 00:05:40,54
2021-08-20 00:05:50,55
2021-08-20 00:06:05,54
2021-08-20 00:06:20,54
2021-08-20 00:06:35,54
2021-08-20 00:06:50,54
2021-08-20 00:07:05,55
2021-08-20 00:07:10,54
2021-08-20 00:07:25,55
2021-08-20 00:07:35,56
2021-08-20 00:07:45,55
2021-08-20 00:07:50,54
2021-08-20 00:08:05,54
2021-08-20 00:08:10,54
2021-08-20 00:08:25,54
2021-08-20 00:08:35,55
2021-08-20 00:08:50,54
2021-08-20 00:09:05,54
2021-08-20 00:09:10,53
2021-08-20 00:09:25,53
2021-08-20 00:09:30,54
2021-08-20 00:09:35,55
2021-08-20 00:09:50,55
2021-08-20 00:10:05,54
2021-08-20 00:10:15,55
2021-08-20 00:10:20,53
2021-08-20 00:10:35,53
2021-08-20 00:10:40,52
2021-08-20 00:10:55,52
2021-08-20 00:11:10,52
2021-08-20 00:11:15,53
2021-08-20 00:11:30,54
2021-08-20 00:11:35,53
2021-08-20 00:11:40,54
2021-08-20 00:11:55,54
2021-08-20 00:12:05,53
2021-08-20 00:12:20,53
2021-08-20 00:12:35,53
2021-08-20 00:12:40,54
2021-08-20 00:12:55,53
2021-08-20 00:13:00,53
2021-08-20 00:13:05,52
2021-08-20 00:13:10,53
2021-08-20 00:13:20,54
2021-08-20 00:13:30,53
2021-08-20 00:13:45,53
2021-08-20 00:13:50,54
2021-08-20 00:14:00,53
2021-08-20 00:14:05,52
2021-08-20 00:14:10,53
2021-08-20 00:14:20,54
2021-08-20 00:14:35,54
2021-08-20 00:14:45,53
2021-08-20 00:15:00,53
2021-08-20 00:15:10,52
2021-08-20 00:15:15,51
2021-08-20 00:15:20,52
2021-08-20 00:15:30,53
2021-08-20 00:15:35,52
2021-08-20 00:15:50,53
2021-08-20 00:16:05,52
2021-08-20 00:16:20,53
2021-08-20 00:16:30,54
2021-08-20 00:16:45,54
2021-08-20 00:17:00,54
2021-08-20 00:17:05,53
